,종목명,코드,유형,순자산,종가,거래량,수익율,총보수,운용사
327,KBSTAR 5대그룹주,105780,그룹주/기타,90,8995,8394,44.04,0.4,케이비자산운용
328,TIGER 200 경기소비재,139290,섹터/경기소비재,90,19525,5068,35.17,0.4,미래에셋자산운용
329,KODEX 콩선물(H),138920,상품/농산물,90,11265,11858,27.72,0.68,삼성자산운용
331,KODEX 다우존스미국리츠(H),352560,기타/기타,88,11070,5075,-0.23,0.3,삼성자산운용
332,KINDEX 삼성그룹동일가중,131890,그룹주/삼성,88,17600,489,28.33,0.15,한국투자신탁운용
333,HANARO KAP초장기국고채,346000,채권/국공채권,88,48780,487,-2.35,0.2,엔에이치아문디자산운용
334,TIGER 베타플러스,170350,투자전략/투자전략,88,19985,439,43.88,0.4,미래에셋자산운용
335,KODEX TSE일본리츠(H),352540,기타/기타,88,10990,789,3.0,0.3,삼성자산운용
336,KBSTAR 200커뮤니케이션서비스,315480,시장지수/코스피200,87,17435,678,10.24,0.19,케이비자산운용
337,KODEX MSCI모멘텀,275280,시장지수/MSCI Korea Index,86,14200,1970,29.09,0.3,삼성자산운용
338,ARIRANG 국채선물3년,298340,채권/국공채권,86,53495,40,-0.04,0.1,한화자산운용
339,TIGER 라틴35,105010,해외지수/해외지수,86,3320,46116,36.35,0.49,미래에셋자산운용
340,KINDEX 코스닥(합성),251890,시장지수/코스닥,85,14220,43,13.49,0.3,한국투자신탁운용
341,흥국 S&P코리아로우볼,215620,투자전략/투자전략,85,10835,4832,17.26,0.4,흥국자산운용
342,KODEX 기계장비,102960,섹터/산업재,85,5230,29604,28.34,0.45,삼성자산운용
343,ARIRANG KS로우볼가중TR,333940,투자전략/투자전략,83,13900,11042,29.42,0.25,한화자산운용
344,HANARO 글로벌럭셔리S&P(합성),354350,해외지수/해외지수,83,15245,13783,18.22,0.5,엔에이치아문디자산운용
345,ARIRANG 중형주저변동50,266550,투자전략/투자전략,83,11030,3925,18.92,0.23,한화자산운용
346,TIGER 일본엔선물,292560,통화/기타통화,83,10395,525,-3.35,0.25,미래에셋자산운용
347,TIGER 금은선물(H),139320,상품/금속,83,10315,12942,1.43,0.7,미래에셋자산운용
348,ARIRANG KS로우사이즈가중TR,333950,투자전략/투자전략,83,16525,7128,30.58,0.25,한화자산운용
349,ARIRANG 글로벌MSCI(합성 H),189400,해외지수/해외지수,82,16205,1247,13.32,0.4,한화자산운용
350,KBSTAR 미국고정배당우선증권ICE TR,354240,해외지수/해외지수,81,9620,1757,-5.45,0.5,케이비자산운용
351,TIGER MSCI KOREA ESG리더스,289260,시장지수/MSCI Korea Index,81,12185,2043,33.97,0.4,미래에셋자산운용
352,ARIRANG 주도업종,280920,투자전략/투자전략,81,12455,18299,35.68,0.23,한화자산운용
354,TIGER 우선주,261140,투자전략/투자전략,80,14800,6659,30.06,0.29,미래에셋자산운용
355,KOSEF 배당바이백Plus,260200,스타일/스타일,80,16010,441,23.2,0.4,키움투자자산운용
356,KODEX 미국S&P바이오(합성),185680,해외지수/해외지수,80,35245,2804,18.23,0.25,삼성자산운용
357,ARIRANG 심천차이넥스트(합성),256450,해외지수/해외지수,79,12970,3804,16.06,0.5,한화자산운용
358,KOSEF 저PBR가중,260270,투자전략/투자전략,79,15785,3395,35.49,0.4,키움투자자산운용
359,TIGER 중소형성장,292130,스타일/스타일,78,12005,2784,10.19,0.29,미래에셋자산운용
360,TIGER 배당성장,211560,스타일/스타일,78,18450,7459,21.46,0.15,미래에셋자산운용
361,ARIRANG KRX300헬스케어,309210,시장지수/KRX300,77,16625,2227,20.3,0.4,한화자산운용
363,TIGER MSCI KOREA ESG유니버설,289250,시장지수/MSCI Korea Index,75,13160,2339,38.38,0.4,미래에셋자산운용
364,KINDEX 배당성장,211260,스타일/스타일,75,37500,177,21.95,0.15,한국투자신탁운용
365,KINDEX 미국다우존스리츠(합성 H),181480,기타/기타,75,75635,306,0.31,0.3,한국투자신탁운용
366,KBSTAR V&S셀렉트밸류채권혼합,241390,기타/기타,75,12440,5696,12.83,0.23,케이비자산운용
367,TIGER 대형성장,292100,스타일/스타일,75,13495,8140,31.02,0.29,미래에셋자산운용
368,TIGER 차이나항셍25,117690,해외지수/해외지수,73,16465,1578,10.29,0.49,미래에셋자산운용
369,KODEX 경기소비재,266390,섹터/경기소비재,71,11820,4620,18.67,0.45,삼성자산운용
371,KBSTAR 국채선물10년,295000,채권/국공채권,71,56330,2826,-1.48,0.07,케이비자산운용
372,KINDEX 멕시코MSCI(합성),291130,해외지수/해외지수,71,8850,962,24.12,0.5,한국투자신탁운용
375,KODEX 운송,140710,섹터/산업재,71,5035,111600,34.81,0.45,삼성자산운용
376,KODEX MSCI퀄리티,275300,시장지수/MSCI Korea Index,71,11680,640,9.47,0.3,삼성자산운용
377,TIGER 대형가치,292110,스타일/스타일,70,12680,1878,38.13,0.29,미래에셋자산운용
381,TIGER 중소형가치,292140,스타일/스타일,70,11510,662,23.7,0.29,미래에셋자산운용
382,ARIRANG 미국다우존스고배당주(합성 H),213630,해외지수/해외지수,69,13080,4454,15.65,0.4,한화자산운용
383,파워 고배당저변동성,192720,스타일/스타일,69,28730,392,20.03,0.23,교보악사자산운용
386,KBSTAR 모멘텀밸류,252720,투자전략/투자전략,67,14885,2485,37.32,0.35,케이비자산운용
388,HANARO 농업융복합산업,314700,테마/기타,67,12195,18104,18.46,0.5,엔에이치아문디자산운용
389,KODEX FnKorea50,296710,테마/우량주,66,11035,411,24.83,0.45,삼성자산운용
390,ARIRANG 스마트베타Quality채권혼합,238670,기타/기타,66,11015,449,5.61,0.2,한화자산운용
391,TIGER 200동일가중,252000,시장지수/코스피200,66,11895,303,24.62,0.25,미래에셋자산운용
392,TIGER K게임,300610,테마/기타,66,11850,13086,7.43,0.5,미래에셋자산운용
393,TIGER 방송통신,098560,섹터/통신서비스,65,7910,18992,9.94,0.46,미래에셋자산운용
394,KODEX 퀄리티Plus,244660,투자전략/투자전략,65,10780,1257,14.68,0.3,삼성자산운용
395,ARIRANG 200동일가중,295820,시장지수/코스피200,65,10805,225,24.91,0.23,한화자산운용
396,ARIRANG 코스피중형주,301440,스타일/스타일,65,11750,645,24.01,0.25,한화자산운용
398,ARIRANG 국채선물10년,289670,채권/국공채권,64,57150,423,-1.39,0.13,한화자산운용
399,TIGER 지주회사,307520,그룹주/기타,63,12525,1174,24.07,0.5,미래에셋자산운용
400,KODEX 200 중소형,226980,스타일/스타일,62,12370,3408,27.07,0.3,삼성자산운용
401,KBSTAR KRX국채선물3년10년스티프너2X,342600,채권/국공채권,62,51785,101,0.81,0.2,케이비자산운용
403,KBSTAR KRX국채선물3년10년스티프너,342500,채권/국공채권,61,51080,13,0.46,0.15,케이비자산운용
405,파워 중기국고채,176710,채권/국공채권,61,101830,2,0.0,0.15,교보악사자산운용
406,TIGER 가격조정,217790,투자전략/투자전략,60,25070,2850,19.5,0.29,미래에셋자산운용
407,KBSTAR KRX국채선물3년10년플래트너,342610,채권/국공채권,60,49760,12,-0.25,0.15,케이비자산운용
408,KBSTAR 미국장기국채선물(H),267440,해외지수/해외지수,60,11935,237,-3.44,0.4,케이비자산운용
409,ARIRANG 선진국MSCI(합성 H),195970,해외지수/해외지수,60,11470,5848,15.86,0.5,한화자산운용
410,KBSTAR KRX국채선물3년10년플래트너2X,342620,채권/국공채권,59,49200,11,-0.53,0.2,케이비자산운용
411,KINDEX Fn성장소비주도주,226380,투자전략/투자전략,58,7150,3004,7.04,0.5,한국투자신탁운용
414,KBSTAR 팔라듐선물(H),334690,상품/금속,57,14175,4822,1.29,0.6,케이비자산운용
416,KBSTAR 200건설,287300,섹터/산업재,56,10775,4540,39.39,0.19,케이비자산운용
417,KINDEX 필리핀MSCI(합성),261920,해외지수/해외지수,55,14200,1634,17.07,0.5,한국투자신탁운용
419,ARIRANG ESG우수기업,278420,테마/SRI,55,9080,1873,15.52,0.23,한화자산운용
421,KBSTAR 내수주플러스,326230,섹터/경기소비재,54,11130,6995,15.4,0.4,케이비자산운용
422,KODEX MSCI EM선물(H),291890,해외지수/해외지수,53,10800,3438,20.54,0.45,삼성자산운용
423,ARIRANG S&P글로벌인프라,269530,해외지수/해외지수,53,10425,984,5.25,0.3,한화자산운용
424,KODEX 멀티에셋하이인컴(H),321410,해외지수/해외지수,52,10450,1105,5.56,0.25,삼성자산운용
425,KBSTAR 200산업재,287320,섹터/산업재,51,10120,477,28.43,0.19,케이비자산운용
426,KODEX 국채선물3년인버스,292770,채권/국공채권,51,49665,5,0.2,0.07,삼성자산운용
427,KINDEX 국채선물3년인버스,299080,채권/국공채권,50,99185,2,0.23,0.05,한국투자신탁운용
428,KBSTAR 차이나HSCEI(H),250730,해외지수/해외지수,50,12545,5736,13.38,0.4,케이비자산운용
429,TIGER S&P글로벌인프라(합성),269370,해외지수/해외지수,49,9935,676,6.79,0.4,미래에셋자산운용
432,KBSTAR 중소형모멘텀밸류,300290,투자전략/투자전략,49,12170,877,20.32,0.35,케이비자산운용
434,KOSEF 코스닥150선물,291610,시장지수/코스닥,48,10010,1144,16.67,0.09,키움투자자산운용
435,KBSTAR 200에너지화학,284990,섹터/소재,48,14180,3659,42.44,0.19,케이비자산운용
436,KOSEF 고배당,104530,스타일/스타일,47,7855,5975,19.02,0.4,키움투자자산운용
438,KINDEX 국채선물10년인버스,299070,채권/국공채권,47,93985,2,1.6,0.05,한국투자신탁운용
439,TIGER 은행,091220,섹터/금융,47,6840,31834,23.13,0.46,미래에셋자산운용
441,KODEX 밸류Plus,244670,투자전략/투자전략,45,9040,12417,21.67,0.3,삼성자산운용
443,KBSTAR 200생활소비재,287330,섹터/필수소비재,43,9025,8148,12.67,0.19,케이비자산운용
444,TIGER 200 생활소비재,227560,섹터/필수소비재,43,11795,3250,12.17,0.4,미래에셋자산운용
449,TIGER 200 산업재,227550,섹터/산업재,39,5570,3570,27.9,0.4,미래에셋자산운용
451,KBSTAR 중소형모멘텀로우볼,300280,투자전략/투자전략,39,11050,1093,17.43,0.35,케이비자산운용
452,ARIRANG 코스닥150,301400,시장지수/코스닥,39,15320,11454,15.45,0.15,한화자산운용
455,KBSTAR 수출주,140570,스타일/스타일,38,12590,974,33.02,0.4,케이비자산운용
456,TIGER 200 철강소재,139240,섹터/소재,36,8230,15969,39.14,0.4,미래에셋자산운용
457,KBSTAR 우량업종,140580,테마/우량주,36,11980,765,26.5,0.4,케이비자산운용
458,TIGER 금속선물(H),139310,상품/금속,35,5860,3226,18.86,0.7,미래에셋자산운용
461,ARIRANG KRX300IT,309170,시장지수/KRX300,29,20680,1337,44.87,0.4,한화자산운용
462,KBSTAR 200금융,284980,섹터/금융,25,8300,3341,23.05,0.19,케이비자산운용
463,KBSTAR 200중공업,285010,섹터/산업재,25,9510,3225,28.86,0.19,케이비자산운용
465,KBSTAR 200경기소비재,287310,섹터/경기소비재,19,12085,1024,35.18,0.19,케이비자산운용
466,KBSTAR 200철강소재,285020,섹터/소재,19,7875,6222,38.52,0.19,케이비자산운용
468,KINDEX 국채선물10년인버스,299070,채권/국공채권,47,93985,2,1.6,0.05,한국투자신탁운용
469,TIGER 은행,091220,섹터/금융,47,6840,31834,23.13,0.46,미래에셋자산운용
471,KODEX 밸류Plus,244670,투자전략/투자전략,45,9040,12417,21.67,0.3,삼성자산운용
473,KBSTAR 200생활소비재,287330,섹터/필수소비재,43,9025,8148,12.67,0.19,케이비자산운용
474,TIGER 200 생활소비재,227560,섹터/필수소비재,43,11795,3250,12.17,0.4,미래에셋자산운용
479,TIGER 200 산업재,227550,섹터/산업재,39,5570,3570,27.9,0.4,미래에셋자산운용
